질문,답변
도배와 페인트 중 어떤 작업이 시간이 더 오래 걸리나요?,일반적으로 도배보다 페인트 시공이 더 많은 비용이 듭니다. 페인트는 특성상 2~3번 덧발라야하기 때문에 벽을 벽지로 시공했을 때보다 시간과 인건비가 많이 듭니다.
흡음재 중 공명형이 뭐야?,"흡음재 중 공명형이란 병이나 항아리 같이 작은 구멍이나 틈의 공명을 이용한 것으로 석면 시멘트판, 석고보드, 알루미늄판, 연질 섬유판, 합성수지판 등이 있고 구멍내부로 들어간 소리가 공진에 의해 소리가 소멸되는 구조로, 특정 주파수에 한정적으로 적용되는 것이 특징입니다."
흡음재 중에서 공명형은 무엇을 의미하는 건가요?,"흡음재 중 공명형이란 병이나 항아리 같이 작은 구멍이나 틈의 공명을 이용한 것으로 석면 시멘트판, 석고보드, 알루미늄판, 연질 섬유판, 합성수지판 등이 있고 구멍내부로 들어간 소리가 공진에 의해 소리가 소멸되는 구조로, 특정 주파수에 한정적으로 적용되는 것이 특징입니다."
점토기와의 단점이 뭐야?,점토기와는 다른 지붕 마감재보다 비싼 편이며 무겁고 충격에 파손될 수 있습니다.
점토기와의 장점은 무엇인가요?,점토기와는 다른 지붕 마감재보다 비싼 편이며 무겁고 충격에 파손될 수 있습니다.
PVC 샤시의 단점이 뭐야?,PVC 샤시는 알루미늄 샤시보다 비싸고 프레임이 두껍다는 단점이 있습니다.
PVC 샤시의 단점은 무엇인가요?,PVC 샤시는 알루미늄 샤시보다 비싸고 프레임이 두껍다는 단점이 있습니다.
콘크리트는 어떻게 처리해?,콘크리트는 폐기물 봉투에 담아 처리해야 합니다.
콘크리트를 처리할 때 주의해야 할 점이 있을까요?,콘크리트는 폐기물 봉투에 담아 처리해야 합니다.
실크벽지의 단점이 뭐야?,"실크벽지는 가격대가 높고 친환경적이지 않으며 통기성, 흡수성이 좋지 않다는 단점이 있습니다."
실크벽지의 장점은 무엇인가요?,"실크벽지는 가격대가 높고 친환경적이지 않으며 통기성, 흡수성이 좋지 않다는 단점이 있습니다."
전벽돌이 뭐야?,전벽돌은 검정색 벽돌로 점토벽돌을 다시 굽는 과정에서 검은색상을 입혀 만든 벽돌입니다.
전벽돌은 어떤 재료로 만들어지는 건가요?,전벽돌은 검정색 벽돌로 점토벽돌을 다시 굽는 과정에서 검은색상을 입혀 만든 벽돌입니다.
목재 마감재는 어떻게 처리해,"목재 마감재 처리방법은 종량재 봉투에 담을 수 있는 양이면 종량재 봉투로, 들어가지 않는 양이면 마대자루에 넣은 후 폐기물스티커를 부착합니다."
목재 마감재를 처리하는데 가장 효과적인 방법은 무엇인가요?,"목재 마감재 처리방법은 종량재 봉투에 담을 수 있는 양이면 종량재 봉투로, 들어가지 않는 양이면 마대자루에 넣은 후 폐기물스티커를 부착합니다."
점토벽돌의 단점이 뭐야?,점토벽돌은 다은 외장재보다 인건비가 많이 들 수 있고 백화현상이 생길 수 있으며 지진과 같은 자연재해에 취약한 점이 단점입니다.
점토벽돌을 사용할 때 어떤 부분에 주의해야 하나요?,점토벽돌은 다은 외장재보다 인건비가 많이 들 수 있고 백화현상이 생길 수 있으며 지진과 같은 자연재해에 취약한 점이 단점입니다.
아스팔트슁글이 뭐야?,석유의 휘발성 물질이 증발되고 남은 잔유물로 점성이 있으며 방수 역할도 훌륭하여 지붕 마감재로 많이 사용합니다.
아스팔트슁글은 무엇을 위해 사용되는 재료인가요?,석유의 휘발성 물질이 증발되고 남은 잔유물로 점성이 있으며 방수 역할도 훌륭하여 지붕 마감재로 많이 사용합니다.
알미늄페인트가 뭐야?,알미늄페인트란 알미늄 분말을 안료로 하며 방청효과와 함께 열반사효과가 있으며 전색제에 따라 방청 효과도 정해집니다.
알미늄페인트는 어떤 용도로 사용되나요?,알미늄페인트란 알미늄 분말을 안료로 하며 방청효과와 함께 열반사효과가 있으며 전색제에 따라 방청 효과도 정해집니다.
가장 비싼 바닥재는 뭐야?,가장 비싼 바닥재는 대리석 타일입니다.
가장 비싼 바닥재는 어떤 종류가 있는지 알 수 있을까요?,가장 비싼 바닥재는 대리석 타일입니다.
아이가 있는 집은 두꺼운 장판과 마루 중 어느 것이 좋아?,"아이가 있는 집에는 두꺼운 장판을 추천드립니다. 아이가 있는 경우 층간 소음이 발생할 수 있으며, 음료 등을 쏟을 위험이 있으므로 소음저감 효과가 있고 오염을 제거하기 용이한 두꺼운 장판을 추천합니다."
아이가 있는 집에서는 두꺼운 장판과 마루 중 어떤 것을 선택하는 게 더 안전한가요?,"아이가 있는 집에는 두꺼운 장판을 추천드립니다. 아이가 있는 경우 층간 소음이 발생할 수 있으며, 음료 등을 쏟을 위험이 있으므로 소음저감 효과가 있고 오염을 제거하기 용이한 두꺼운 장판을 추천합니다."
오리지널징크의 단점이 뭐야?,오리지널징크는 다른 징크에 비해 가격이 높은 것이 단점입니다.
오리지널징크의 장점은 무엇인가요?,오리지널징크는 다른 징크에 비해 가격이 높은 것이 단점입니다.
세라믹 타일이 뭐야,흙을 구워 만드는 타일을 세라믹타일이라 합니다.
세라믹 타일은 무엇인가요?,흙을 구워 만드는 타일을 세라믹타일이라 합니다.
석고보드를 사용하는 이유가 뭐야?,"석고보드는 인체에 무해하며 친환경적이므로 마감재로 많이 사용합니다. 특히 가볍고 절단하기 쉬워 경제적이며, 단열성능이 좋아 건축자재로 많이 쓰입니다."
석고보드를 사용하는 이유에는 어떤 장점이 있나요?,"석고보드는 인체에 무해하며 친환경적이므로 마감재로 많이 사용합니다. 특히 가볍고 절단하기 쉬워 경제적이며, 단열성능이 좋아 건축자재로 많이 쓰입니다."
스타코플렉스의 장점은 뭐야?,"스타코플렉스의 장점은 시공이 용이하고 단열, 방수, 방음성이 좋으며 색상, 질감 표현이 다양하다는 장점이 있습니다."
스타코플렉스를 사용하는 것의 장점은 무엇인가요?,"스타코플렉스의 장점은 시공이 용이하고 단열, 방수, 방음성이 좋으며 색상, 질감 표현이 다양하다는 장점이 있습니다."
크롬산아연페인트가 뭐야?,"크롬산아연페인트는 안료로 크롬산아연을, 전색제로 알키드수지를 사용한 페인트입니다."
크롬산아연페인트는 어떤 용도로 사용되는 건가요?,"크롬산아연페인트는 안료로 크롬산아연을, 전색제로 알키드수지를 사용한 페인트입니다."
흡음재 중 다공질은 뭐가 있어?,"흡음재 중 다공질은 무수히 많은 구멍이나 틈이 있는 것으로 유리면, 암면, 목모판, 코르크 판, 석고보드, 콘크리트 블록 등이 있고 저주파보다는 고주파 흡음률이 더 뛰어납니다."
흡음재 중 다공질에는 어떤 종류가 있는지 알려주세요.,"흡음재 중 다공질은 무수히 많은 구멍이나 틈이 있는 것으로 유리면, 암면, 목모판, 코르크 판, 석고보드, 콘크리트 블록 등이 있고 저주파보다는 고주파 흡음률이 더 뛰어납니다."
평지붕이 뭐야?,평지붕은 경사가 없는 지붕을 의미합니다.
평지붕이 무엇인가요?,평지붕은 경사가 없는 지붕을 의미합니다.
원목사이딩의 장점이 뭐야?,원목사이딩의 장점은 단열이 우수하고 외장재 중 가장 친환경적이며시공이 비교적 쉽다는 점입니다.
원목사이딩을 사용하는 것이 좋은 이유가 뭔가요?,원목사이딩의 장점은 단열이 우수하고 외장재 중 가장 친환경적이며시공이 비교적 쉽다는 점입니다.
남은 도배풀을 변기에 버려도 돼?,도배풀에 본드가 섞여있으면 배관을 막을 수도 있으니 일반 종량제 봉투에 버리는 것을 추천합니다.
도배풀을 변기에 버리는 것이 안전한지 확인해야 할까요?,도배풀에 본드가 섞여있으면 배관을 막을 수도 있으니 일반 종량제 봉투에 버리는 것을 추천합니다.
폴리에스테르 흡음 단열재에 대해 설명해줘,"폴리에스테르 흡음 단열재에 대한 특징은 다음과 같습니다. - 특징 : 폴리에스테르 섬유를 적층하여 열 융착한 단열재로 가공방법에 따라 일반형, 가공형, 타일형 등이 있습니다. 환경표지인증(한국환경산업기술원), 친환경건축자재(한국공기청정협회), 우수재활용제품(GR인증) 등의 인증을 받았습니다. - 장점 : 물 흡수시 결합력 및 인장강도가 강하므로 배수가 잘되어 뭉침(떡짐)현상 발생이 없으며, 형태가 지속 유지되어 열전도율, 흡음 특성 등 변화가 없습니다. 자체 수분율이 0에 가깝고 빠른 시간 내에 건조되는 특징을 가집니다. 결합력이 강하여 풍화에 의하여 섬유질이 비산되는 등 대기오염에 문제가 없고, 재활용 및 소각이 용이합니다. - 단점 : 폴리에스터 재질 특성상 표면초기 상태는 양호하나 박리(하나의 재료가 다른 재료와의 경계면에서 떨어져 나감)시 복원이 불가능합니다. 부착면 상태가 불량하면 오염 현상 발생할 수 있습니다. - 적용부위 : 철근콘크리트 구조 - 난연 / 방염 : 가연성재료"
폴리에스테르 흡음 단열재는 어떤 장점들을 가지고 있나요?,"폴리에스테르 흡음 단열재에 대한 특징은 다음과 같습니다. - 특징 : 폴리에스테르 섬유를 적층하여 열 융착한 단열재로 가공방법에 따라 일반형, 가공형, 타일형 등이 있습니다. 환경표지인증(한국환경산업기술원), 친환경건축자재(한국공기청정협회), 우수재활용제품(GR인증) 등의 인증을 받았습니다. - 장점 : 물 흡수시 결합력 및 인장강도가 강하므로 배수가 잘되어 뭉침(떡짐)현상 발생이 없으며, 형태가 지속 유지되어 열전도율, 흡음 특성 등 변화가 없습니다. 자체 수분율이 0에 가깝고 빠른 시간 내에 건조되는 특징을 가집니다. 결합력이 강하여 풍화에 의하여 섬유질이 비산되는 등 대기오염에 문제가 없고, 재활용 및 소각이 용이합니다. - 단점 : 폴리에스터 재질 특성상 표면초기 상태는 양호하나 박리(하나의 재료가 다른 재료와의 경계면에서 떨어져 나감)시 복원이 불가능합니다. 부착면 상태가 불량하면 오염 현상 발생할 수 있습니다. - 적용부위 : 철근콘크리트 구조 - 난연 / 방염 : 가연성재료"
데코타일이 뭐야?,데코타일은 플라스틱을 사용한 단단한 장판조각입니다. 가격은 평당 3~6만원입니다. 다양한 디자인과 패턴이 있으며 작은 공간에 시공해도 시각적으로 넓어보인다는 장점이 있지만 보행감이 떨어진다는 단점이 있습니다.
데코타일은 어떤 용도로 사용되는 건가요?,데코타일은 플라스틱을 사용한 단단한 장판조각입니다. 가격은 평당 3~6만원입니다. 다양한 디자인과 패턴이 있으며 작은 공간에 시공해도 시각적으로 넓어보인다는 장점이 있지만 보행감이 떨어진다는 단점이 있습니다.
온돌마루는 기대수명이 얼마야?,온돌마루의 기대수명은 25년입니다.
온돌마루의 기대수명은 얼마나 되나요?,온돌마루의 기대수명은 25년입니다.
데코타일의 단점이 뭐야?,데코타일은 습기에 약해 들뜸 현상이 일어나거나 장판에 비해 쿠션감이 없다는 단점이 있습니다.
데코타일을 사용하는 데 어떤 단점이 있을까요?,데코타일은 습기에 약해 들뜸 현상이 일어나거나 장판에 비해 쿠션감이 없다는 단점이 있습니다.
방염벽지가 뭐야?,"방염벽지는 실크벽지와 같이 PVC 코팅을 하고 방염처리가 된 벽지입니다. 가격은 평당 10,000~13,000원입니다. 화재 시 유독가스의 확산속도를 지연한다는 장점이 있지만 시공이 어렵고 대중적으로 사용되는 합지벽지와 실크벽지에 비해 비싸다는 단점이 있습니다."
방염벽지는 무엇인가요?,"방염벽지는 실크벽지와 같이 PVC 코팅을 하고 방염처리가 된 벽지입니다. 가격은 평당 10,000~13,000원입니다. 화재 시 유독가스의 확산속도를 지연한다는 장점이 있지만 시공이 어렵고 대중적으로 사용되는 합지벽지와 실크벽지에 비해 비싸다는 단점이 있습니다."
